healingfs,heal aku jalanin teliti nih guys ngerancang buah aplikasi nah kalau kamu milik masalah sehat mental pernah rasa ingin bnh dr bantu dengan isi formulir ikut reply moga bisa nemu solusi,Positif
MamiaAja,ber tgg jawab atas sehat mental masing kaaaaaan,Negatif
Bhrolvrr_,pilih lah manusia baik sehat mental,Positif
Suprihariadi,aja emang sehat mental turun,Positif
Denna__aja,liat jg sehat mental calon pasang krn jg turun anak turun kalo cari pasang ganteng cantik aja mental gak sehat ganggu mental kayak artis dulu marah yutub nyata bapak punya ganggu mental jd nurun dia,Negatif
staytogether01,dampak musik jin bts kutip naver pilih salah satu musisi asia bantu hilang stigma masalah sehat mental lalu lagu abyss jin kontribusi obat sembuh simpati beri music btsjin supertuna jin,Positif
hafiznurahmad,paling lambat bulan lg lah sampe keluar aku kalo punya masalah sehat mental biar rakyat twitter simpati,Positif
wow_keren,ayu aulia nyesel sempat bunuh diri ngaku nekat gegara punya masalah sehat mental ayuaulia,Negatif
loveskimchi,iya aku sadar self diagnose sehat mental aja sangat haram laku khawatir timbul psikosomatik accusing somebody else about their mental illness makanya aku klarifikasi makasih insightnyaa,Positif
Reyyy112,sehat mental healthy,Positif
annisapus20,jangan kan crush temenku kaya gitu sekali kali langsung aku byeeee gabaik buat sehat mental hoek,Positif
uname_d,kalo pola hidup sehat ka ga langsung dampak sama sehat mental,Positif
Cilokba__,bener yaa sehat mental penting boss,Positif
mas_bakul,yah saran tinggalin aja ka mending fokus ngurusin utang aja tambah masalah selametin dulu sehat mental kmu soal uang bisa cari semangat,Positif
lelongPROJECT,buah teliti ungkap libur pantai yakin ampuh kurang depresi tingkat kreativitas kembali sehat mental akan tolak pesona pantai aroma air laut segar gemeresik daun kelapa yang tiup,Positif
skjnmoon,sangadddd sangadddd tydack baik sehat mental,Positif
safemytwt,bahkan gue pernah cari informasi buat dateng psikiater psikolog saking ancur nya mental gue lo gk tau gue benerin sehat mental gue rasa gapernah gue bayangin,Positif
lilchimeow,hubung covid sama sehat mental anak muda,Positif
kompascom,hanya keras fisik keras verbal milik dampak buruk sehat mental simak jelas sini,Positif
jieunicityx,stabil sedia energi dalam tubuh baik suasana hati mood bantu jaga berat badan ideal bantu cegah timbul masalah sehat mental cemas depresi adhd,Positif
leoraroel,sehat mental,Positif
magdaleneid,masyarakat dapat ikut aksi cegah ubah iklim baik lalu upaya individu jalan gaya hidup ramah lingkung maupun upaya kolektif gabung gera dorong bijak lebih ramah lingkung,Positif
newsmerahputih,staycation workcation jadi pilih sehat mental merahputihcom staycation workcation,Positif
happyend2022,tinggal orang toxic sehat mental sayang mental skrg fokus aja sm cita cita impi,Positif
mdyprttrn,sehat mental uji kalo kk pulang aku senang karna teman main hehehex,Positif
bukansayang_,sedih banget sampe bawa mimpiiiiii btw emang banyak protes gara gara gituu satu dus isi sehat mental bikin kena mental,Negatif
igidiary,kan ajar psikologi jadi juga jaga sehat mental,Positif
ekapusp,sehat mental harga banget emang,Positif
Satryaadp_,uang pengaruh besar sehat mental,Positif
rawrzahra,org play victim tuh bahaya bgt deh suer baik sehat mental kamu fisik kamu you never know what they will do behind you so please stay away,Positif
VFhar,ga lama block hide unfollowitu childish because menjagakesehatan mental yangterpenting,Positif
MardhiyahPuji,terkadang sikap bodoamat penting banget buat nyaman diri sendiri tuju biar ngga terlalu overthinking bisa jaga sehat mental,Positif
BagasChrzmy,pop punk pagi hari bagus buat sehat mental,Positif
ijoahae,tahun tahan butuh tp akhir resign sehat mental penting ges,Positif
morecaffeins,klo kata mas ray ganggu sehat mental,Positif
NcinCuan,drtd baca tl isi rata soal sehat mental ky nya tanda kl sehat mental eike sedang baik,Negatif
kompasiana,kenal daydreaming manfaat lamun manfaat sehat mental lho,Positif
oceanzyx,batasin komunikasi sma aja trs jgn kmu bls lg klo ngedm chat kmukesehatan mental kamu lebih penting sih nder,Positif
Jkt48_rengechon,berani diri tutup mata tutup telinga hingga hasil nyata kadang baik lari diri sehat mental pikir,Positif
purebloodpridee,qlp ll la sehat mental perlu bang kalo abgnya nanya yg kurang kek otaklu kurang deh bg,Positif
WEnjelys,aku situ cuman mikir arti ada ku waktu benar parah pulang dr sana aku search ttg sehat mental cara ngehindarinya betul ak sedikit depresot trs barusan buka ttg mental health jd cegah nambah ilmu semangat nevergiveup,Positif
UGM_FESS,ugm fess orang tau sehat mental orang bakal nyebarin orang ngga huhu takut,Positif
hehtrid,kalo aku gpp sih tanya alesan pisah knpa kalo km hubung baik sama mantan buat sehat mental anak jelas pisah gaperlu rasa bgaimna sm mantan kan pisah bkn karna kmtapi itu semua pastiin mental siap terima anak,Positif
binarmentari_,gue jujur ngeri sama sehat mental,Positif
cufives,jaga sehat badan jaga sehat mental tidak kalah penting masa masa sekarang,Positif
wonggendeng44,hzn wkwk dah biarin aja mbak capek ati nasihatin org bebel mending minggir aja biar tetep waras biar sehat mental mbak tetep jaga,Positif
the_geotimes,penting sehat mental remaja indonesia,Positif
rvoue,bukti nyata sehat mental tuh bkn sepele,Positif
detikhot,ayu aulia tampil tv tampak sehat usai heboh kabar laku coba bunuh diri aku lama gelut sehat mental,Positif
aosaddictt,gua dari awal mikir sehat mental daffa knp kuat bnr,Positif
lintanglangit15,kalau mau wawancara dg napinya ngeri ngeri sedep kena mental dobel skripsi plus efek buat sehat mental habis wawancara jadi si napinya tolak kunjung wawancara kayak red cap episode pertama sogok pake uang baru mau,Positif
yurisluvv,semua udah jadi jadi alam aja jangan sampe ulang dan hal di sebut tadi sangat pengaruh orang jadi sasar lebih tepat nya buat sehat mental,Positif
Airyn01,month manjain di bayar pake sehat mental sorry for everything,Negatif
adtyaindahpl,udahlah itu baik sehat mental nyata sering sesuai harap,Positif
bbyMyatnoekhin,ga ngerti bgt sma ni bunbun bilang sehat mental si salim gimana lupa dia pernah bikin sayembara which its juga bkin mental org rusak,Positif
exolbubu,kalau bapak salah julid bapak aja kalau emang bisnis masalah yaudh topik situ aja kenapa jadi kaya nyerembet kuliah sampe fisik nya segala urus coba sibuk ngomongin sehat mental ujung nya malah jadi bully,Positif
ngeontod,kadang keluarga sendiri buat sehat mental yang awal baik baik aja jadi ga baik baik aja,Positif
jeonwonuimnida,gamau rewatch cukup sekali aku gakuat takut sehat mental tara selera humor anjlok,Positif
kyudgurl,yuu nder sehat hati mental,Positif
Irdint,plis jangan jadi perang buat canda sendiri berani ngukuti berani nonton berita mana soal perang sana big no orang mudah overthinking jaga sehat mental,Positif
